scenario id,scenario start time (P[YYYY]-[MM]-[DD]T[hh]:[mm]:[ss]),elapsed (hours),cool_group:OUT(1) => building_cooling:IN(0) [flow: chilled_water] (kW),elec_group:OUT(1) => WASTE:IN(0) [flow: ] (kW),elec_group:OUT(2) => cool_group:IN(2) [flow: electricity] (kW),elec_group:OUT(3) => cool_group:IN(3) [flow: electricity] (kW),elec_group:OUT(4) => electric_pump:IN(0) [flow: electricity] (kW),elec_group:OUT(5) => building_electrical:IN(0) [flow: electricity] (kW),elec_group:OUT(6) => WASTE:IN(0) [flow: ] (kW),electric_utility:OUT(0) => elec_group:IN(1) [flow: electricity] (kW),gas_group:OUT(0) => elec_group:IN(2) [flow: electricity] (kW),heat_group:OUT(1) => building_heating:IN(0) [flow: heating] (kW),REQUEST:cool_group:OUT(1) => building_cooling:IN(0) [flow: chilled_water] (kW),REQUEST:elec_group:OUT(1) => WASTE:IN(0) [flow: ] (kW),REQUEST:elec_group:OUT(2) => cool_group:IN(2) [flow: electricity] (kW),REQUEST:elec_group:OUT(3) => cool_group:IN(3) [flow: electricity] (kW),REQUEST:elec_group:OUT(4) => electric_pump:IN(0) [flow: electricity] (kW),REQUEST:elec_group:OUT(5) => building_electrical:IN(0) [flow: electricity] (kW),REQUEST:elec_group:OUT(6) => WASTE:IN(0) [flow: ] (kW),REQUEST:electric_utility:OUT(0) => elec_group:IN(1) [flow: electricity] (kW),REQUEST:gas_group:OUT(0) => elec_group:IN(2) [flow: electricity] (kW),REQUEST:heat_group:OUT(1) => building_heating:IN(0) [flow: heating] (kW),AVAILABLE:cool_group:OUT(1) => building_cooling:IN(0) [flow: chilled_water] (kW),AVAILABLE:elec_group:OUT(1) => WASTE:IN(0) [flow: ] (kW),AVAILABLE:elec_group:OUT(2) => cool_group:IN(2) [flow: electricity] (kW),AVAILABLE:elec_group:OUT(3) => cool_group:IN(3) [flow: electricity] (kW),AVAILABLE:elec_group:OUT(4) => electric_pump:IN(0) [flow: electricity] (kW),AVAILABLE:elec_group:OUT(5) => building_electrical:IN(0) [flow: electricity] (kW),AVAILABLE:elec_group:OUT(6) => WASTE:IN(0) [flow: ] (kW),AVAILABLE:electric_utility:OUT(0) => elec_group:IN(1) [flow: electricity] (kW),AVAILABLE:gas_group:OUT(0) => elec_group:IN(2) [flow: electricity] (kW),AVAILABLE:heat_group:OUT(1) => building_heating:IN(0) [flow: heating] (kW),Stored: diesel_group(diesel_fuel_tank) (kJ),SOC: diesel_group(diesel_fuel_tank),op-state: elec_group(automated_transfer_switch),op-state: elec_group(battery),op-state: building_cooling,op-state: building_electrical,op-state: building_heating,op-state: elec_group(electric_bus0),op-state: elec_group(electric_bus1),op-state: electric_pump,op-state: electric_utility,op-state: elec_group(power_lines),op-state: elec_group(pv_array)
blue_sky,P0000-00-00T00:00:00,17.800,220.4,0,26.3,48.2,10,114.3,0,100,98.8,13.2,220.4,0,26.3,48.2,10,114.3,0,198.8,98.8,13.2,220.4,0,26.3,48.2,10,521.5,0,100,500,297.3,14400000.000,1.000,available,available,available,available,available,available,available,available,available,available,available
blue_sky,P0000-00-00T00:00:00,18.000,220.4,0,26.3,48.2,10,102.7,0,0,187.1,9.4,220.4,0,26.3,48.2,10,102.7,0,0,187.1,9.4,220.4,0,26.3,48.2,10,421.5,0,100,500,323.9,14400000.000,1.000,available,available,available,available,available,available,available,available,available,available,available
blue_sky,P0000-00-00T00:00:00,19.000,220.4,0,26.3,48.2,10,125.7,0,100,110.2,13.5,220.4,0,26.3,48.2,10,125.7,0,210.2,110.2,13.5,220.4,0,26.3,48.2,10,521.5,0,100,500,307.8,14400000.000,1.000,available,available,available,available,available,available,available,available,available,available,available
blue_sky,P0000-00-00T00:00:00,20.000,220.4,0,26.3,48.2,10,105.3,0,0,189.7,9.7,220.4,0,26.3,48.2,10,105.3,0,0,189.7,9.7,220.4,0,26.3,48.2,10,421.5,0,100,500,323.6,14400000.000,1.000,available,available,available,available,available,available,available,available,available,available,available
blue_sky,P0000-00-00T00:00:00,21.000,220.4,0,26.3,48.2,10,125,0,100,109.5,12.3,220.4,0,26.3,48.2,10,125,0,209.5,109.5,12.3,220.4,0,26.3,48.2,10,521.5,0,100,500,307.4,14400000.000,1.000,available,available,available,available,available,available,available,available,available,available,available
blue_sky,P0000-00-00T00:00:00,22.000,219.4,0,26.3,47.8,10,104.8,0,0,188.9,10.6,219.4,0,26.3,47.8,10,104.8,0,0,188.9,10.6,219.4,0,26.3,47.8,10,421.9,0,100,500,323.7,14400000.000,1.000,available,available,available,available,available,available,available,available,available,available,available
blue_sky,P0000-00-00T00:00:00,23.000,220.4,0,26.3,48.2,10,126.5,0,100,111,13.5,220.4,0,26.3,48.2,10,126.5,0,211,111,13.5,220.4,0,26.3,48.2,10,521.5,0,100,500,308.4,14400000.000,1.000,available,available,available,available,available,available,available,available,available,available,available
blue_sky,P0000-00-00T00:00:00,24.000,220.4,0,26.3,48.2,10,107.1,0,0,191.6,9.7,220.4,0,26.3,48.2,10,107.1,0,0,191.6,9.7,220.4,0,26.3,48.2,10,421.5,0,100,500,323.3,14400000.000,1.000,available,available,available,available,available,available,available,available,available,available,available
blue_sky,P0000-00-00T00:00:00,25.000,220,0,26.3,48,10,135.6,0,100,119.9,13.5,220,0,26.3,48,10,135.6,0,219.9,119.9,13.5,220,0,26.3,48,10,521.7,0,100,500,313.7,14400000.000,1.000,available,available,available,available,available,available,available,available,available,available,available
blue_sky,P0000-00-00T00:00:00,26.000,219.8,0,26.3,47.9,10,115.6,0,0,199.8,12.3,219.8,0,26.3,47.9,10,115.6,0,0,199.8,12.3,219.8,0,26.3,47.9,10,421.8,0,100,500,321.8,14400000.000,1.000,available,available,available,available,available,available,available,available,available,available,available
