scenario id,scenario start time (P[YYYY]-[MM]-[DD]T[hh]:[mm]:[ss]),elapsed (hours),elec_heat_pump_conv:OUT(0) => heating_supply_mux:IN(2) (kW),elec_heat_pump_conv:OUT(2) => WASTE:IN(0) (kW),electric_battery:OUT(0) => electric_supply_mux:IN(0) (kW),electric_source_mux:OUT(0) => electric_battery:IN(0) (kW),electric_supply_mux:OUT(0) => electric_load:IN(0) (kW),electric_supply_mux:OUT(1) => elec_heat_pump_conv:IN(0) (kW),electric_utility:OUT(0) => electric_source_mux:IN(1) (kW),heating_supply_mux:OUT(0) => heating_load:IN(0) (kW),ng_grid:OUT(0) => ng_source_mux:IN(0) (kW),ng_heater_conv:OUT(0) => heating_supply_mux:IN(1) (kW),ng_heater_conv:OUT(2) => WASTE:IN(0) (kW),ng_source_mux:OUT(0) => ng_to_elec_conv:IN(0) (kW),ng_source_mux:OUT(1) => ng_heater_conv:IN(0) (kW),ng_to_elec_conv:OUT(0) => electric_supply_mux:IN(1) (kW),ng_to_elec_conv:OUT(1) => heating_supply_mux:IN(0) (kW),ng_to_elec_conv:OUT(2) => WASTE:IN(0) (kW),pv_array:OUT(0) => electric_source_mux:IN(0) (kW),pv_array:OUT(1) => WASTE:IN(0) (kW),REQUEST:elec_heat_pump_conv:OUT(0) => heating_supply_mux:IN(2) (kW),REQUEST:elec_heat_pump_conv:OUT(2) => WASTE:IN(0) (kW),REQUEST:electric_battery:OUT(0) => electric_supply_mux:IN(0) (kW),REQUEST:electric_source_mux:OUT(0) => electric_battery:IN(0) (kW),REQUEST:electric_supply_mux:OUT(0) => electric_load:IN(0) (kW),REQUEST:electric_supply_mux:OUT(1) => elec_heat_pump_conv:IN(0) (kW),REQUEST:electric_utility:OUT(0) => electric_source_mux:IN(1) (kW),REQUEST:heating_supply_mux:OUT(0) => heating_load:IN(0) (kW),REQUEST:ng_grid:OUT(0) => ng_source_mux:IN(0) (kW),REQUEST:ng_heater_conv:OUT(0) => heating_supply_mux:IN(1) (kW),REQUEST:ng_heater_conv:OUT(2) => WASTE:IN(0) (kW),REQUEST:ng_source_mux:OUT(0) => ng_to_elec_conv:IN(0) (kW),REQUEST:ng_source_mux:OUT(1) => ng_heater_conv:IN(0) (kW),REQUEST:ng_to_elec_conv:OUT(0) => electric_supply_mux:IN(1) (kW),REQUEST:ng_to_elec_conv:OUT(1) => heating_supply_mux:IN(0) (kW),REQUEST:ng_to_elec_conv:OUT(2) => WASTE:IN(0) (kW),REQUEST:pv_array:OUT(0) => electric_source_mux:IN(0) (kW),REQUEST:pv_array:OUT(1) => WASTE:IN(0) (kW),AVAILABLE:elec_heat_pump_conv:OUT(0) => heating_supply_mux:IN(2) (kW),AVAILABLE:elec_heat_pump_conv:OUT(2) => WASTE:IN(0) (kW),AVAILABLE:electric_battery:OUT(0) => electric_supply_mux:IN(0) (kW),AVAILABLE:electric_source_mux:OUT(0) => electric_battery:IN(0) (kW),AVAILABLE:electric_supply_mux:OUT(0) => electric_load:IN(0) (kW),AVAILABLE:electric_supply_mux:OUT(1) => elec_heat_pump_conv:IN(0) (kW),AVAILABLE:electric_utility:OUT(0) => electric_source_mux:IN(1) (kW),AVAILABLE:heating_supply_mux:OUT(0) => heating_load:IN(0) (kW),AVAILABLE:ng_grid:OUT(0) => ng_source_mux:IN(0) (kW),AVAILABLE:ng_heater_conv:OUT(0) => heating_supply_mux:IN(1) (kW),AVAILABLE:ng_heater_conv:OUT(2) => WASTE:IN(0) (kW),AVAILABLE:ng_source_mux:OUT(0) => ng_to_elec_conv:IN(0) (kW),AVAILABLE:ng_source_mux:OUT(1) => ng_heater_conv:IN(0) (kW),AVAILABLE:ng_to_elec_conv:OUT(0) => electric_supply_mux:IN(1) (kW),AVAILABLE:ng_to_elec_conv:OUT(1) => heating_supply_mux:IN(0) (kW),AVAILABLE:ng_to_elec_conv:OUT(2) => WASTE:IN(0) (kW),AVAILABLE:pv_array:OUT(0) => electric_source_mux:IN(0) (kW),AVAILABLE:pv_array:OUT(1) => WASTE:IN(0) (kW),Stored: electric_battery (kJ),SOC: electric_battery,op-state: elec_heat_pump_conv,op-state: electric_battery,op-state: electric_load,op-state: electric_source_mux,op-state: electric_supply_mux,op-state: electric_utility,op-state: heating_load,op-state: heating_supply_mux,op-state: ng_grid,op-state: ng_heater_conv,op-state: ng_source_mux,op-state: ng_to_elec_conv,op-state: pv_array
blue_sky,P0000-00-00T00:00:00,10.000,0,0,95.2,95.2,95.2,0,0,16.4,16.7,16.4,0.3,0,16.7,0,0,0,95.2,1488,0,0,95.2,95.2,95.2,0,0,16.4,16.7,16.4,0.3,0,16.7,0,16.4,0,95.2,1488,0,0,1583.7,1583.7,1805462.9,0,0.5,16.4,4294967.3,16.4,0.3,4294950.5,16.7,1803879.2,0,0,1583.2,1488,359712.000,0.999,available,available,available,available,available,available,available,available,available,available,available,available,available
blue_sky,P0000-00-00T00:00:00,11.000,0,0,107.6,107.6,107.6,0,0,18.8,19.1,18.8,0.4,0,19.1,0,0,0,107.6,1726,0,0,107.6,107.6,107.6,0,0,18.8,19.1,18.8,0.4,0,19.1,0,18.8,0,107.6,1726,0,0,1834.2,1834.2,1805712.4,0,0.5,18.8,4294967.3,18.8,0.4,4294948.2,19.1,1803878.2,0,0,1833.7,1726,359712.000,0.999,available,available,available,available,available,available,available,available,available,available,available,available,available
blue_sky,P0000-00-00T00:00:00,12.000,0,0,81.2,81.2,81.2,0,0,14.4,14.7,14.4,0.3,0,14.7,0,0,0,81.2,1841.6,0,0,81.2,81.2,81.2,0,0,14.4,14.7,14.4,0.3,0,14.7,0,14.4,0,81.2,1841.6,0,0,1923.4,1923.4,1805803.5,0,0.5,14.4,4294967.3,14.4,0.3,4294952.6,14.7,1803880.1,0,0,1922.9,1841.6,359712.000,0.999,available,available,available,available,available,available,available,available,available,available,available,available,available
blue_sky,P0000-00-00T00:00:00,13.000,0,0,98.9,98.9,98.9,0,0,16.1,16.4,16.1,0.3,0,16.4,0,0,0,98.9,1650.5,0,0,98.9,98.9,98.9,0,0,16.1,16.4,16.1,0.3,0,16.4,0,16.1,0,98.9,1650.5,0,0,1749.9,1749.9,1805629.3,0,0.5,16.1,4294967.3,16.1,0.3,4294950.8,16.4,1803879.4,0,0,1749.4,1650.5,359712.000,0.999,available,available,available,available,available,available,available,available,available,available,available,available,available
blue_sky,P0000-00-00T00:00:00,14.000,0,0,80.1,80.1,80.1,0,0,10.6,10.8,10.6,0.2,0,10.8,0,0,0,80.1,914.6,0,0,80.1,80.1,80.1,0,0,10.6,10.8,10.6,0.2,0,10.8,0,10.6,0,80.1,914.6,0,0,995.2,995.2,1804876.10,0,0.5,10.6,4294967.3,10.6,0.2,4294956.5,10.8,1803881.7,0,0,994.7,914.6,359712.000,0.999,available,available,available,available,available,available,available,available,available,available,available,available,available
blue_sky,P0000-00-00T00:00:00,15.000,0,0,97.2,97.2,97.2,0,0,13.8,14.1,13.8,0.3,0,14.1,0,0,0,97.2,371.2,0,0,97.2,97.2,97.2,0,0,13.8,14.1,13.8,0.3,0,14.1,0,13.8,0,97.2,371.2,0,0,468.9,468.9,1804349.3,0,0.5,13.8,4294967.3,13.8,0.3,4294953.2,14.1,1803880.4,0,0,468.4,371.2,359712.000,0.999,available,available,available,available,available,available,available,available,available,available,available,available,available
blue_sky,P0000-00-00T00:00:00,16.000,0,0,0.5,0.5,81,0,0.5,9.4,191.8,0,0,191.8,0,80.5,9.4,101.8,0,0,0,0,81,81,81,0,81,9.4,191.8,0,0,191.8,0,80.5,9.4,101.8,81,0,0,0,0.5,0.5,1803886.8,0,0.5,111.2,4294967.3,0,0,4294967.3,0,1803886.3,111.2,101.8,0,0,359712.000,0.999,available,available,available,available,available,available,available,available,available,available,available,available,available
blue_sky,P0000-00-00T00:00:00,17.000,0,0,0.5,0.5,114.3,0,0.5,13.2,270.9,0,0,270.9,0,113.8,13.2,143.9,0,0,0,0,114.3,114.3,114.3,0,114.3,13.2,270.9,0,0,270.9,0,113.8,13.2,143.9,114.3,0,0,0,0.5,0.5,1803886.8,0,0.5,157.1,4294967.3,0,0,4294967.3,0,1803886.3,157.1,143.9,0,0,359676.000,0.999,available,available,available,available,available,available,available,available,available,available,available,available,available
blue_sky,P0000-00-00T00:00:00,18.000,0,0,0.5,0.5,102.7,0,0.5,9.4,243.2,0,0,243.2,0,102.1,9.4,131.7,0,0,0,0,102.7,102.7,102.7,0,102.7,9.4,243.2,0,0,243.2,0,102.1,9.4,131.7,102.7,0,0,0,0.5,0.5,1803886.8,0,0.5,141.1,4294967.3,0,0,4294967.3,0,1803886.3,141.1,131.7,0,0,359640.000,0.999,available,available,available,available,available,available,available,available,available,available,available,available,available
blue_sky,P0000-00-00T00:00:00,19.000,0,0,0.5,0.5,125.7,0,0.5,13.5,298,0,0,298,0,125.2,13.5,159.4,0,0,0,0,125.7,125.7,125.7,0,125.7,13.5,298,0,0,298,0,125.2,13.5,159.4,125.7,0,0,0,0.5,0.5,1803886.8,0,0.5,172.8,4294967.3,0,0,4294967.3,0,1803886.3,172.8,159.4,0,0,359604.000,0.999,available,available,available,available,available,available,available,available,available,available,available,available,available
